epoch: 1, train_loss: 0.538290, train acc: 61.85, test loss: 0.234907, test acc: 85.7
epoch: 2, train_loss: 0.191907, train acc: 88.225, test loss: 0.161942, test acc: 89.8
epoch: 3, train_loss: 0.152182, train acc: 90.70833333333333, test loss: 0.143089, test acc: 90.93
epoch: 4, train_loss: 0.136980, train acc: 91.48333333333333, test loss: 0.132074, test acc: 91.83
epoch: 5, train_loss: 0.126477, train acc: 92.23333333333333, test loss: 0.126830, test acc: 92.15
epoch: 6, train_loss: 0.118857, train acc: 92.83333333333333, test loss: 0.121544, test acc: 92.44
epoch: 7, train_loss: 0.112297, train acc: 93.41666666666667, test loss: 0.117565, test acc: 92.66
epoch: 8, train_loss: 0.106351, train acc: 93.78333333333333, test loss: 0.114828, test acc: 92.93
epoch: 9, train_loss: 0.102370, train acc: 94.05, test loss: 0.109938, test acc: 93.27
epoch: 10, train_loss: 0.097361, train acc: 94.4, test loss: 0.106960, test acc: 93.3
epoch: 11, train_loss: 0.094222, train acc: 94.65, test loss: 0.104037, test acc: 93.63
epoch: 12, train_loss: 0.090138, train acc: 95.01666666666667, test loss: 0.103545, test acc: 93.6
epoch: 13, train_loss: 0.087447, train acc: 95.01666666666667, test loss: 0.100366, test acc: 93.82
epoch: 14, train_loss: 0.084841, train acc: 95.25, test loss: 0.099643, test acc: 93.8
epoch: 15, train_loss: 0.082317, train acc: 95.51666666666667, test loss: 0.097820, test acc: 94.17
epoch: 16, train_loss: 0.080376, train acc: 95.61666666666666, test loss: 0.096949, test acc: 94.11
epoch: 17, train_loss: 0.078260, train acc: 95.75833333333334, test loss: 0.096367, test acc: 94.08
epoch: 18, train_loss: 0.076094, train acc: 95.95, test loss: 0.094087, test acc: 94.29
epoch: 19, train_loss: 0.074625, train acc: 96.16666666666667, test loss: 0.093663, test acc: 94.35
epoch: 20, train_loss: 0.072726, train acc: 96.26666666666667, test loss: 0.092453, test acc: 94.38
epoch: 21, train_loss: 0.071514, train acc: 96.33333333333333, test loss: 0.091801, test acc: 94.38
epoch: 22, train_loss: 0.070318, train acc: 96.49166666666666, test loss: 0.090576, test acc: 94.54
epoch: 23, train_loss: 0.069484, train acc: 96.58333333333333, test loss: 0.089978, test acc: 94.47
epoch: 24, train_loss: 0.067512, train acc: 96.74166666666666, test loss: 0.090207, test acc: 94.4
epoch: 25, train_loss: 0.066618, train acc: 96.73333333333333, test loss: 0.088461, test acc: 94.75
epoch: 26, train_loss: 0.065502, train acc: 96.83333333333333, test loss: 0.088570, test acc: 94.79
epoch: 27, train_loss: 0.064752, train acc: 96.96666666666667, test loss: 0.087985, test acc: 94.67
epoch: 28, train_loss: 0.063426, train acc: 97.06666666666666, test loss: 0.085778, test acc: 94.82
epoch: 29, train_loss: 0.062593, train acc: 97.04166666666667, test loss: 0.085877, test acc: 94.87
epoch: 30, train_loss: 0.061894, train acc: 97.1, test loss: 0.088142, test acc: 94.55
epoch: 31, train_loss: 0.061781, train acc: 97.225, test loss: 0.086143, test acc: 94.81
epoch: 32, train_loss: 0.060954, train acc: 97.21666666666667, test loss: 0.086172, test acc: 94.99
epoch: 33, train_loss: 0.059795, train acc: 97.23333333333333, test loss: 0.085966, test acc: 94.89
epoch: 34, train_loss: 0.059508, train acc: 97.325, test loss: 0.087068, test acc: 94.75
epoch: 35, train_loss: 0.060029, train acc: 97.175, test loss: 0.083863, test acc: 95.09
epoch: 36, train_loss: 0.058207, train acc: 97.41666666666667, test loss: 0.082809, test acc: 95.14
epoch: 37, train_loss: 0.057568, train acc: 97.54166666666667, test loss: 0.082738, test acc: 95.13
epoch: 38, train_loss: 0.057310, train acc: 97.44166666666666, test loss: 0.083939, test acc: 94.95
epoch: 39, train_loss: 0.056951, train acc: 97.575, test loss: 0.082559, test acc: 95.0
epoch: 40, train_loss: 0.056819, train acc: 97.53333333333333, test loss: 0.082243, test acc: 94.96
epoch: 41, train_loss: 0.056278, train acc: 97.58333333333333, test loss: 0.081664, test acc: 95.21
epoch: 42, train_loss: 0.055917, train acc: 97.64166666666667, test loss: 0.081973, test acc: 95.09
epoch: 43, train_loss: 0.055344, train acc: 97.64166666666667, test loss: 0.081925, test acc: 95.2
epoch: 44, train_loss: 0.055327, train acc: 97.65833333333333, test loss: 0.081914, test acc: 95.12
epoch: 45, train_loss: 0.054280, train acc: 97.775, test loss: 0.081087, test acc: 95.21
epoch: 46, train_loss: 0.054548, train acc: 97.73333333333333, test loss: 0.080841, test acc: 95.16
epoch: 47, train_loss: 0.053859, train acc: 97.81666666666666, test loss: 0.080010, test acc: 95.19
epoch: 48, train_loss: 0.053407, train acc: 97.80833333333334, test loss: 0.079930, test acc: 95.11
epoch: 49, train_loss: 0.053054, train acc: 97.81666666666666, test loss: 0.081029, test acc: 95.27
epoch: 50, train_loss: 0.053531, train acc: 97.78333333333333, test loss: 0.081016, test acc: 95.07
epoch: 51, train_loss: 0.052383, train acc: 97.9, test loss: 0.080529, test acc: 95.25
epoch: 52, train_loss: 0.052492, train acc: 97.9, test loss: 0.079657, test acc: 95.13
epoch: 53, train_loss: 0.052102, train acc: 97.85, test loss: 0.079507, test acc: 95.2
epoch: 54, train_loss: 0.052050, train acc: 97.95833333333333, test loss: 0.078758, test acc: 95.31
epoch: 55, train_loss: 0.051666, train acc: 97.95, test loss: 0.079983, test acc: 95.46
epoch: 56, train_loss: 0.051221, train acc: 98.00833333333334, test loss: 0.080593, test acc: 95.03
epoch: 57, train_loss: 0.051787, train acc: 97.975, test loss: 0.079564, test acc: 95.2
epoch: 58, train_loss: 0.051107, train acc: 98.03333333333333, test loss: 0.078025, test acc: 95.4
epoch: 59, train_loss: 0.051158, train acc: 98.00833333333334, test loss: 0.077928, test acc: 95.42
epoch: 60, train_loss: 0.050665, train acc: 98.10833333333333, test loss: 0.078373, test acc: 95.3
epoch: 61, train_loss: 0.050022, train acc: 98.06666666666666, test loss: 0.079654, test acc: 95.35
epoch: 62, train_loss: 0.050033, train acc: 98.125, test loss: 0.078097, test acc: 95.37
epoch: 63, train_loss: 0.050049, train acc: 98.08333333333333, test loss: 0.077775, test acc: 95.39
epoch: 64, train_loss: 0.049744, train acc: 98.16666666666667, test loss: 0.079216, test acc: 95.27
epoch: 65, train_loss: 0.049742, train acc: 98.05833333333334, test loss: 0.077430, test acc: 95.37
epoch: 66, train_loss: 0.049194, train acc: 98.125, test loss: 0.078395, test acc: 95.33
epoch: 67, train_loss: 0.049278, train acc: 98.175, test loss: 0.076973, test acc: 95.52
epoch: 68, train_loss: 0.049088, train acc: 98.175, test loss: 0.077218, test acc: 95.52
epoch: 69, train_loss: 0.048808, train acc: 98.21666666666667, test loss: 0.076593, test acc: 95.51
epoch: 70, train_loss: 0.048886, train acc: 98.20833333333333, test loss: 0.077292, test acc: 95.29
epoch: 71, train_loss: 0.048548, train acc: 98.225, test loss: 0.076239, test acc: 95.49
epoch: 72, train_loss: 0.048719, train acc: 98.28333333333333, test loss: 0.076530, test acc: 95.45
epoch: 73, train_loss: 0.048362, train acc: 98.20833333333333, test loss: 0.076946, test acc: 95.36
epoch: 74, train_loss: 0.047886, train acc: 98.25833333333334, test loss: 0.076164, test acc: 95.56
epoch: 75, train_loss: 0.048379, train acc: 98.13333333333334, test loss: 0.076486, test acc: 95.55
epoch: 76, train_loss: 0.047967, train acc: 98.3, test loss: 0.076247, test acc: 95.54
epoch: 77, train_loss: 0.047969, train acc: 98.26666666666667, test loss: 0.078461, test acc: 95.34
epoch: 78, train_loss: 0.047919, train acc: 98.23333333333333, test loss: 0.075701, test acc: 95.57
epoch: 79, train_loss: 0.047508, train acc: 98.33333333333333, test loss: 0.076845, test acc: 95.39
epoch: 80, train_loss: 0.047457, train acc: 98.275, test loss: 0.075690, test acc: 95.58
epoch: 81, train_loss: 0.047225, train acc: 98.36666666666666, test loss: 0.076226, test acc: 95.56
epoch: 82, train_loss: 0.047159, train acc: 98.30833333333334, test loss: 0.076149, test acc: 95.51
epoch: 83, train_loss: 0.047026, train acc: 98.35, test loss: 0.075499, test acc: 95.67
epoch: 84, train_loss: 0.046802, train acc: 98.4, test loss: 0.075400, test acc: 95.6
epoch: 85, train_loss: 0.046627, train acc: 98.4, test loss: 0.075324, test acc: 95.65
epoch: 86, train_loss: 0.046805, train acc: 98.4, test loss: 0.076648, test acc: 95.59
epoch: 87, train_loss: 0.046511, train acc: 98.35833333333333, test loss: 0.075102, test acc: 95.59
epoch: 88, train_loss: 0.046746, train acc: 98.29166666666667, test loss: 0.076219, test acc: 95.66
epoch: 89, train_loss: 0.046473, train acc: 98.425, test loss: 0.074882, test acc: 95.68
epoch: 90, train_loss: 0.046307, train acc: 98.4, test loss: 0.074328, test acc: 95.62
epoch: 91, train_loss: 0.046442, train acc: 98.375, test loss: 0.075048, test acc: 95.6
epoch: 92, train_loss: 0.046189, train acc: 98.41666666666667, test loss: 0.075616, test acc: 95.61
epoch: 93, train_loss: 0.046050, train acc: 98.33333333333333, test loss: 0.074567, test acc: 95.69
epoch: 94, train_loss: 0.045957, train acc: 98.45833333333333, test loss: 0.077082, test acc: 95.38
epoch: 95, train_loss: 0.045970, train acc: 98.41666666666667, test loss: 0.074427, test acc: 95.55
epoch: 96, train_loss: 0.045660, train acc: 98.39166666666667, test loss: 0.075092, test acc: 95.51
epoch: 97, train_loss: 0.045544, train acc: 98.41666666666667, test loss: 0.075029, test acc: 95.63
epoch: 98, train_loss: 0.045788, train acc: 98.44166666666666, test loss: 0.074531, test acc: 95.73
epoch: 99, train_loss: 0.045330, train acc: 98.46666666666667, test loss: 0.074368, test acc: 95.71
epoch: 100, train_loss: 0.045385, train acc: 98.46666666666667, test loss: 0.074201, test acc: 95.63
epoch: 101, train_loss: 0.042734, train acc: 98.63333333333334, test loss: 0.073485, test acc: 95.65
epoch: 102, train_loss: 0.042517, train acc: 98.66666666666667, test loss: 0.073444, test acc: 95.7
epoch: 103, train_loss: 0.042414, train acc: 98.65, test loss: 0.073315, test acc: 95.75
epoch: 104, train_loss: 0.042405, train acc: 98.68333333333334, test loss: 0.073343, test acc: 95.74
epoch: 105, train_loss: 0.042386, train acc: 98.69166666666666, test loss: 0.073343, test acc: 95.71
epoch: 106, train_loss: 0.042368, train acc: 98.65833333333333, test loss: 0.073484, test acc: 95.78
epoch: 107, train_loss: 0.042384, train acc: 98.68333333333334, test loss: 0.073335, test acc: 95.72
epoch: 108, train_loss: 0.042382, train acc: 98.7, test loss: 0.073503, test acc: 95.64
epoch: 109, train_loss: 0.042418, train acc: 98.69166666666666, test loss: 0.073459, test acc: 95.74
epoch: 110, train_loss: 0.042394, train acc: 98.69166666666666, test loss: 0.073432, test acc: 95.71
epoch: 111, train_loss: 0.042371, train acc: 98.7, test loss: 0.073315, test acc: 95.78
epoch: 112, train_loss: 0.042401, train acc: 98.69166666666666, test loss: 0.073434, test acc: 95.75
epoch: 113, train_loss: 0.042374, train acc: 98.675, test loss: 0.073446, test acc: 95.81
epoch: 114, train_loss: 0.042453, train acc: 98.675, test loss: 0.073367, test acc: 95.79
epoch: 115, train_loss: 0.042371, train acc: 98.68333333333334, test loss: 0.073328, test acc: 95.75
